,,12Base Avg:,-0.051468349,-0.022833761,-0.023106868,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/20/2018 8:45:01.50,12/20/18,08:45:01:50,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:01.70,12/20/18,08:45:01:70,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:01.91,12/20/18,08:45:01:91,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:02.20,12/20/18,08:45:02:20,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:02.30,12/20/18,08:45:02:30,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:02.50,12/20/18,08:45:02:50,-0.051573,-0.02284,-0.023152,,,
12/20/2018 8:45:02.70,12/20/18,08:45:02:70,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:02.89,12/20/18,08:45:02:89,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:03.00,12/20/18,08:45:03:00,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:03.31,12/20/18,08:45:03:31,-0.051723,-0.02284,-0.023072,,,
12/20/2018 8:45:03.41,12/20/18,08:45:03:41,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:03.61,12/20/18,08:45:03:61,-0.051573,-0.0228,-0.023112,,,
12/20/2018 8:45:03.80,12/20/18,08:45:03:80,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:03.98,12/20/18,08:45:03:98,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:04.09,12/20/18,08:45:04:09,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:04.39,12/20/18,08:45:04:39,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:04.48,12/20/18,08:45:04:48,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:04.70,12/20/18,08:45:04:70,-0.051273,-0.02284,-0.023072,,,
12/20/2018 8:45:04.89,12/20/18,08:45:04:89,-0.051123,-0.02284,-0.023112,,,
12/20/2018 8:45:05.11,12/20/18,08:45:05:11,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:05.29,12/20/18,08:45:05:29,-0.051723,-0.02284,-0.023112,,,
12/20/2018 8:45:05.50,12/20/18,08:45:05:50,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:05.68,12/20/18,08:45:05:68,-0.051723,-0.02284,-0.023072,,,
12/20/2018 8:45:05.89,12/20/18,08:45:05:89,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:06.07,12/20/18,08:45:06:07,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:06.26,12/20/18,08:45:06:26,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:06.45,12/20/18,08:45:06:45,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:06.65,12/20/18,08:45:06:65,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:06.73,12/20/18,08:45:06:73,-0.051123,-0.02284,-0.023112,,,
12/20/2018 8:45:06.95,12/20/18,08:45:06:95,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:07.13,12/20/18,08:45:07:13,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:07.34,12/20/18,08:45:07:34,-0.051573,-0.02284,-0.023072,,,
12/20/2018 8:45:07.54,12/20/18,08:45:07:54,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:07.85,12/20/18,08:45:07:85,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:07.94,12/20/18,08:45:07:94,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:08.15,12/20/18,08:45:08:15,-0.051123,-0.02284,-0.023112,,,
12/20/2018 8:45:08.33,12/20/18,08:45:08:33,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:08.44,12/20/18,08:45:08:44,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:08.63,12/20/18,08:45:08:63,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:08.93,12/20/18,08:45:08:93,-0.051573,-0.02284,-0.023152,,,
12/20/2018 8:45:09.02,12/20/18,08:45:09:02,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:09.26,12/20/18,08:45:09:26,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:09.44,12/20/18,08:45:09:44,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:09.65,12/20/18,08:45:09:65,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:09.94,12/20/18,08:45:09:94,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:10.04,12/20/18,08:45:10:04,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:10.27,12/20/18,08:45:10:27,-0.051723,-0.02284,-0.023072,,,
12/20/2018 8:45:10.47,12/20/18,08:45:10:47,-0.051573,-0.02284,-0.023072,,,
12/20/2018 8:45:10.60,12/20/18,08:45:10:60,-0.051573,-0.02284,-0.023072,,,
12/20/2018 8:45:10.78,12/20/18,08:45:10:78,-0.051273,-0.02284,-0.023072,,,
12/20/2018 8:45:11.06,12/20/18,08:45:11:06,-0.051573,-0.0228,-0.023072,,,
12/20/2018 8:45:11.16,12/20/18,08:45:11:16,-0.051273,-0.0228,-0.023112,,,
12/20/2018 8:45:11.36,12/20/18,08:45:11:36,-0.051723,-0.0228,-0.023072,,,
12/20/2018 8:45:11.55,12/20/18,08:45:11:55,-0.051423,-0.0228,-0.023072,,,
12/20/2018 8:45:11.75,12/20/18,08:45:11:75,-0.051573,-0.0228,-0.023072,,,
12/20/2018 8:45:11.97,12/20/18,08:45:11:97,-0.051273,-0.02284,-0.023072,,,
12/20/2018 8:45:12.25,12/20/18,08:45:12:25,-0.051573,-0.0228,-0.023072,,,
12/20/2018 8:45:12.34,12/20/18,08:45:12:34,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:12.55,12/20/18,08:45:12:55,-0.051573,-0.0228,-0.023112,,,
12/20/2018 8:45:12.66,12/20/18,08:45:12:66,-0.051573,-0.0228,-0.023112,,,
12/20/2018 8:45:12.86,12/20/18,08:45:12:86,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:13.06,12/20/18,08:45:13:06,-0.051573,-0.02284,-0.023072,,,
12/20/2018 8:45:13.36,12/20/18,08:45:13:36,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:13.45,12/20/18,08:45:13:45,-0.051573,-0.0228,-0.023112,,,
12/20/2018 8:45:13.69,12/20/18,08:45:13:69,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:13.87,12/20/18,08:45:13:87,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:14.06,12/20/18,08:45:14:06,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:14.26,12/20/18,08:45:14:26,-0.051723,-0.02284,-0.023112,,,
12/20/2018 8:45:14.56,12/20/18,08:45:14:56,-0.051873,-0.02284,-0.023112,,,
12/20/2018 8:45:14.65,12/20/18,08:45:14:65,-0.051873,-0.02284,-0.023112,,,
12/20/2018 8:45:14.89,12/20/18,08:45:14:89,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:15.00,12/20/18,08:45:15:00,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:15.11,12/20/18,08:45:15:11,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:15.31,12/20/18,08:45:15:31,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:15.60,12/20/18,08:45:15:60,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:15.70,12/20/18,08:45:15:70,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:15.81,12/20/18,08:45:15:81,-0.051123,-0.02284,-0.023112,,,
12/20/2018 8:45:16.03,12/20/18,08:45:16:03,-0.050973,-0.02284,-0.023112,,,
12/20/2018 8:45:16.21,12/20/18,08:45:16:21,-0.051123,-0.02284,-0.023112,,,
12/20/2018 8:45:16.43,12/20/18,08:45:16:43,-0.051273,-0.02284,-0.023072,,,
12/20/2018 8:45:16.71,12/20/18,08:45:16:71,-0.051573,-0.0228,-0.023112,,,
12/20/2018 8:45:16.81,12/20/18,08:45:16:81,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:17.01,12/20/18,08:45:17:01,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:17.13,12/20/18,08:45:17:13,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:17.32,12/20/18,08:45:17:32,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:17.43,12/20/18,08:45:17:43,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:17.73,12/20/18,08:45:17:73,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:17.82,12/20/18,08:45:17:82,-0.051573,-0.02284,-0.023072,,,
12/20/2018 8:45:18.02,12/20/18,08:45:18:02,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:18.24,12/20/18,08:45:18:24,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:18.35,12/20/18,08:45:18:35,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:18.55,12/20/18,08:45:18:55,-0.051273,-0.0228,-0.023112,,,
12/20/2018 8:45:18.85,12/20/18,08:45:18:85,-0.051123,-0.02284,-0.023112,,,
12/20/2018 8:45:18.94,12/20/18,08:45:18:94,-0.051423,-0.0228,-0.023072,,,
12/20/2018 8:45:19.13,12/20/18,08:45:19:13,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:19.25,12/20/18,08:45:19:25,-0.051123,-0.02284,-0.023152,,,
12/20/2018 8:45:19.44,12/20/18,08:45:19:44,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:19.64,12/20/18,08:45:19:64,-0.051273,-0.0228,-0.023112,,,
12/20/2018 8:45:19.93,12/20/18,08:45:19:93,-0.051123,-0.0228,-0.023112,,,
12/20/2018 8:45:20.02,12/20/18,08:45:20:02,-0.051573,-0.0228,-0.023112,,,
12/20/2018 8:45:20.22,12/20/18,08:45:20:22,-0.051423,-0.0228,-0.023152,,,
12/20/2018 8:45:20.44,12/20/18,08:45:20:44,-0.051573,-0.02284,-0.023152,,,
12/20/2018 8:45:20.57,12/20/18,08:45:20:57,-0.051273,-0.02284,-0.023152,,,
12/20/2018 8:45:20.75,12/20/18,08:45:20:75,-0.051273,-0.02284,-0.023152,,,
12/20/2018 8:45:21.05,12/20/18,08:45:21:05,-0.051573,-0.0228,-0.023112,,,
12/20/2018 8:45:21.14,12/20/18,08:45:21:14,-0.051573,-0.02284,-0.023152,,,
12/20/2018 8:45:21.35,12/20/18,08:45:21:35,-0.051873,-0.02284,-0.023112,,,
12/20/2018 8:45:21.47,12/20/18,08:45:21:47,-0.051873,-0.02284,-0.023112,,,
12/20/2018 8:45:21.67,12/20/18,08:45:21:67,-0.051723,-0.02284,-0.023112,,,
12/20/2018 8:45:21.88,12/20/18,08:45:21:88,-0.051873,-0.02284,-0.023152,,,
12/20/2018 8:45:22.19,12/20/18,08:45:22:19,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:22.28,12/20/18,08:45:22:28,-0.051573,-0.02284,-0.023152,,,
12/20/2018 8:45:22.48,12/20/18,08:45:22:48,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:22.67,12/20/18,08:45:22:67,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:22.87,12/20/18,08:45:22:87,-0.051123,-0.02284,-0.023112,,,
12/20/2018 8:45:23.06,12/20/18,08:45:23:06,-0.051273,-0.02284,-0.023112,,,
12/20/2018 8:45:23.26,12/20/18,08:45:23:26,-0.051423,-0.0228,-0.023112,,,
12/20/2018 8:45:23.36,12/20/18,08:45:23:36,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:23.58,12/20/18,08:45:23:58,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:23.76,12/20/18,08:45:23:76,-0.051273,-0.02284,-0.023072,,,
12/20/2018 8:45:23.95,12/20/18,08:45:23:95,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:24.15,12/20/18,08:45:24:15,-0.051423,-0.02284,-0.023112,,,
12/20/2018 8:45:24.43,12/20/18,08:45:24:43,-0.051723,-0.02284,-0.023112,,,
12/20/2018 8:45:24.53,12/20/18,08:45:24:53,-0.051873,-0.02284,-0.023072,,,
12/20/2018 8:45:24.73,12/20/18,08:45:24:73,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:24.92,12/20/18,08:45:24:92,-0.052023,-0.02284,-0.023112,,,
12/20/2018 8:45:25.03,12/20/18,08:45:25:03,-0.051723,-0.02284,-0.023072,,,
12/20/2018 8:45:25.23,12/20/18,08:45:25:23,-0.051573,-0.02284,-0.023112,,,
12/20/2018 8:45:25.45,12/20/18,08:45:25:45,-0.051423,-0.02284,-0.023072,,,
12/20/2018 8:45:25.56,12/20/18,08:45:25:56,-0.051273,-0.02284,-0.023072,,,
12/20/2018 8:45:25.78,12/20/18,08:45:25:78,-0.051423,-0.02284,-0.023072,,,
12/20/2018 8:45:25.96,12/20/18,08:45:25:96,-0.051423,-0.02284,-0.023072,,,
12/20/2018 8:45:26.17,12/20/18,08:45:26:17,-0.051423,-0.02284,-0.023072,,,
12/20/2018 8:45:26.38,12/20/18,08:45:26:38,-0.051423,-0.02284,-0.023072,,,
12/20/2018 8:45:26.51,12/20/18,08:45:26:51,-0.051423,-0.02284,-0.023072,,,
12/20/2018 8:45:26.62,12/20/18,08:45:26:62,-0.051423,-0.02284,-0.023072,,,
